texts,toxicity
"mục_đích bảo_hiểm bảo vệ.mỗi trích 10-20% thu_nhập mua bảo_hiểm thì : nếu mai_mốt may : ốm - bệnh_tật gói bảo_hiểm mua tích_hợp sản_phẩm bổ_trợ bảo_lãnh - toán viện_phí , trợ y_tế nằm viện thu_nhập ... thì công ty bảo_hiểm toán thay bạn , nằm viện 1 tiền_định thu_nhập nằm viện ... và thu_nhập 80-90% đó . - trường_hợp rủi liên_quan sinh_mạng : ... tiền hàng 10-20% thu_nhập mua bh công ty bh toán 1 khoản tương_đối thay báo_hiếu cha - mẹ , thân_thể sống tiếp 1 khoản đi lại.trường hợp may_mắn khoẻ 99 t ; 15-20 1 khoản tương_đối khoản tích_cóp cộng lãi xuất.còn tiền rủi_ro : tuân_thủ khoản hđ bh hoàn_toàn tiền . - trừ trục_lợi bh tiền khó .",0
"trận hôm thật , tiến barca .",0
đồ màu đen bánh_gai .,0
"gia_đình quản_lý điện thoai đừng ném trách_nhiệm giáo_viên trường , trưởng_thành kiểm_soát thân sử_dụng điện_thoại trẻ thể đó . học_sinh sử_dụng điện_thoại đúng , tài_liệu học thư_viện , phòng vi_tính , trường chẳng đó , học nghe , tiếp_thu , thể chỗ thầy_cô . hợp_thức_hoá sử_dụng điện_thoại , liên_quan điện_thoại bóng trách_nhiệm nghiễm_nhiên lăn chân thầy_cô , trường quyền .",0
phản_ứng kịp .,0
kiếm 1 bé ra . đau_lòng .,0
xác cr7 thể_hiện đẳng_cấp .,0
"cám_ơn anh , cám_ơn hỗ_trợ dân ! clip hồi_hộp lo xe bắn trả .",0
bầu_trời đỏ tán_xạ ánh bầu_trời đỏ_hoả !,0
roland_garros khởi tranhgặp thời_tiết lạnh khăn chừngnadal thần_tượng mìnhbảo vệ báu thiệt tình đây !,0
tập vầy : - đi 2 p - chạy 5 p - đi 2pxong xí_quách !,0
"cảnh_báo ầm_ầm ăn , sợ",0
"ủng_hộ đình học đuổi học . hư sai đuổi học đình hành_động phản_tác_dụng , giáo_huấn , tảng giáo_dục , đi hướng sai , cảm_giác ty , chảy bèo trôi , mặc_định hư , sai , đuổi học đằng vậy . tâm_lý tiêu_cực , bất_cần , đầu hệ xấu thân học_sinh xã hội.vậy thay đình học , đuổi học , đi lao_động công_ích , đi trị tâm_lý , tham_gia giúp_đỡ tổ_chức hoạt_động xã_hội , hoạt_động thiện .... v .. v tuỳ độ vi_phạm lựa hình_thức phù_hợp .",0
cầu_mong khoẻ,0
đồng phương_án 10 chỉnh 1 lần .,0
nỗ_lực tuyệt_vọng chẳng_thể níu_kéo tình nàng quyết đi tình mới ...,0
ruột sinh được vầy ... thật ngưỡng_mộ_cường,0
"haizzz ... lái_xe kiểu trời ? ? ? : @ đầu xe 4w nát bét thế , đụng xe 2 bánh , đó ! : o đề_nghị thâu lái tài_xế vĩnh_viễn đi . : |",1
300tr mua được xe tiện_ích đông i 10 . sedan 2018.2019 ngon được 300tr,0
"ráng đợi 1 tích_góp mua mazda 2 sedan chạy bạn . mấy i10 , fadi giải_pháp tức_thời mua m2 đi được , chí gái vợ gq sao .... việt_nam ! mua xe_hơi lựa xe hợp_lý hơn .",0
"ồ , mai sớ rớ học_trò , đấm thẳng mặt mấy người.chứ bất_ngờ kiểu này , đi kỷ_luật bó_tay .",1
doanh đồ uống cồn kèm bệnh_tật chẳng quan_tâm mức .,0
"mẹ , học giỏi , thành_công đường học_vấn , tốt . vậy , thừa thánh bao ép học giỏi . trước , học lớp 1 , lớp 2 học giỏi , bắt học thứ . định_cư châu_âu rồi , tư_tưởng thay_đổi , ép học giỏi , bắt_buộc học nữa . đây , trưởng_thành , hướng đi yêu thích . vui_vẻ lựa đó . việt nam , rơi vòng xoáy ép học rồi . môi_trường sống khác .",0
dõi thi_đấu thua bạc_nhược trận kênh khác .,0
ôm cua vòng biển đi noul,0
giải_quyết vấn_đề hay . thoả đam_mê học học kiếm tiền .,0
"môi_trường y_tế khẩu_trang y_tế tràn_lan đời_sống dân_sinh , môi_trường y_tế quy_trình xử_lý vật_tư y_tế ( khẩu_trang y_tế , găng_tay , bảo_hộ , ... ) , đời_sống dân_sinh sử_dụng khẩu_trang vải xả thải bừa_bãi phân_huỷ",0
"không nên . phục_vụ học_tập trước h học . thu_thập tài_liệu được trước học . học truyền kiến_thức thảo_luận tài_liệu chuẩn trước . em điện thoại phút đoán google không hiệu_quả . kiếm thông_tin . đọc , sàng_lọc , xử_lý . thông mạng nhiễu_loạn mọi người hiểu .",0
"đề_nghị quan chúc năng xử_lý người hành_vi ngang_nhiên bạo_hành trẻ , dư_luận xã_hội phẫn_nộ hành_vi trường_học , trước mặt cháu trẻ_thơ . cũng xử_lý_giáo trường này .",0
hích...tu vi trê chéc 50 năm ... chưa kịp thành tinh thịt ...,0
đập lan_can an_toàn hai lũ đỡ nguy_hiểm hơn .,0
vẻ căng,0
thu_hồi gấp cấm sản_phẩm ?,0
tu_hú việt_nam !,0
"500 đầy lăn bánh lựa_chọn : nissan sunny 2020 xv or xt , attrange 2020 cvt , ciaz về . xe hạng anh , xe lướt mua được hạng chị 2 - 3 tuổi , vios_cvt / g or city 2 tuổi.theo đét mua , đỡ đau_đầu . đi sunny hài tiền ra , không 600tr vios / city động đi .",0
khen_thưởng đồng_chí ca hình tra mảng tội_phạm ma_tuý ! lọt 1 hai đối_tượng xã_hội khổ . cảm_ơn công_an !,0
lúa_thu đông trỗ . ảnh_hưởng,0
"bhnt mua trẻ nhé . chia ngân_sách ra , 1 mua bhnt , 1 đầu_tư tích_luỹ thông quỹ công ty bhnt thọ quản_lý tích_luỹ lại . 10 1 ngờ .",0
"300tr mua elantra 2016 , cerato 2016 , túc sơn 2014 , sorento 2014 ... mua city 2013 , vios 2013 hả bạn . mua mấy hàn tôn kia thừa tiền đổ xăng",0
sx mẫu điện_thoại video . đẳng giàu.kkk,0
"soluto tiện_nghi đủ , khoá thông_minh , camera , cảm_biến lùi .. đợt soluto 50% phí bạ rẻ dòng xe nhập",0
cháy mãi,0
"kona 2.0 db sánh kia seltos pre 1.4 t nhỉ , sánh khẩm khiễng",0
tầm tiền vios 1 .,0
phương_oanh trông phạm_băng_băng rồi !,0
online phán mệt .. hông sát đánh_bắt sát_sinh mấy vậy ? tai_nạn nha mấy thánh online,1
""" con cá sống_sót bơi đi xa "" - đọc thở_phào nhẹ_nhõm . mong cá sống_sót thương_tích đợt này . sống sinh_tồn lắm .",0
"trường_hợp mẹ chồng di_chúc vợ_chồng sống bà , 4 gái chồng chồng tỉnh xa , đòi quyền chia đất ... mẹ chồng sống gái 4 vay 50.000.000 , gái 2 vay 12trieu đòi chia đất . đi 1/3 tiền phúng_viếng . liệu 3 đòi đất không ?",0
thành trump_covid 19 huỷ hết . hậu sai trump .,0
ca chấn_thương bale . tui khâm_phục đội_ngũ_sĩ thể_thao real chữa_trị bale . tui ngạc_nhiên bale chạy được . đá chấn_thương thế .,0
"xấu hồi xe hàn xe nhật thay_đổi mẫu_mã , options tiêu_dùng .",0
"sử_dụng điện_thoại tuyệt_vời . tiếc đại đa "" học "" cạch 95% thời_gian game , chat chít yêu_đương , phim mạng xã_hội .",0
"pha đột_phá phút 50 đẹp , chuẩn thương_hiệu m 10 !",0
chuyến bay,0
cả . lẽ gu âm_nhạc_thể này . hai stress lắm .,1
tập_họp đeo khẩu_trang mùa bầu_cử mĩ đứng giới dịch bệnh covid 19,0
hệ_thống luật_pháp việt_nam thực_thi pháp_luật bất_cập . em bé bạo_hành 3 bao báo_cáo không giải_quyết dứt_khoát em bé rơi cảnh đó .,0
trăm chảy đá mòncòn sử_dụng buônchuyên án ma_tuý buồnbắt trăm bánh hoàitrách trách aicái vòi bạch tuột bung ramong yên_bình tacác chiến_sĩ xông_pha vững !,0
"học 3 , bé trai , ham chơi , kiểm_tra cháu học . bgd thay_đổi này , cháu thức học tốt , cháu lười_biếng , ỷ y thầy mẹ lo_lắng nhiều . thay_đổi kiện cháu học lập , học , khả_năng thuyết_trình , học , giúp học đại_học , đẳng đỡ bỡ_ngỡ . khuyết khổ thầy_cô , kiểm_tra xuyên học_sinh nắm vững nào , bổ_sung kiến_thức nào , kịp_thời sửa kịp , thông kiểm_tra này , sợ thầy sát khả_năng học học_sinh .",0
điểm sàn 2 điểm thì tình hình phải 24 điểm trở mới hy vọngười trúngười tuyển đại họchị ngân hàngười .,0
trời trump đắc_cử,0
800 santafe máy dầu 2015-2016,0
"covid "" né "" trách_nhiệm , thận_trọng , hậu nghiêm trọng.nó chừa nguyên_thủ cường_quốc 1 tg , ngàn tỷ đô . thái_độ khinh_suất , thường , covid nếm_trải hậu nhãn_tiền .",1
"74 , lo_ngại sức_khoẻ ông , covid - 19 công già công tt. ..",0
rẻ 2 mạng,1
"hi_vọng thành_công pháo_thủ , arteta",0
"trốn đi tắm ao_hồ , sông_hồ nhiều , sảy chân té sông.hai té mấy lần , vớt , ôm_chân cầu bò lên.sống 16 miền tây , 30t , bơi được.năm 12-13 t đi vũng_tàu đem phao , chẳng phao 1 đường , sóng đẩy đi đâu , may túm tóc lên , ói xanh mặt . mạng may.nhưng thực_tập bơi được , dạy bơi lắm rồi.biết thân_phận tắm biển cạn , hồ bơi dạng hồ nít .",0
bọ biển không dám tôm dịp thử được đấy,0
trồng bảo_vệ rừng hàng ưu_tiên,0
"xưa đi học nhẹ_nhàng , thành_tài . học nặng , sách thay . vất_vả học_sinh lãng_phí tài_nguyên . xuất vui thôi .",1
"châu_âu airbus , máy_bay tuyệt_vời . trình_độ công_nghệ thực nhật . tất_nhiên oto đức / âu đứt nhật rồi .",0
mặt,1
"cố dậy chút , món kiểu salad , món hấp nhanh , nấu 1 tiếng ạ , mấy món cầu_kì tuần . sẵn nilon bọc , hộp nhựa kiểu . không đảm_bảo 100% tươi ngon : ( .",0
"đọc kỹ đề quăng vậy , 400tr thui , attrage lăn bánh đủ , soluto thiếu . chạy thử biết , phán lắm ...",0
hy_vọng mau bình phuc,0
cá_thu thành tinh rồi .,0
ôi tiền quá ! chia rung đùi đếm sướng : d,0
"xe nhật đi lành . mẫu_mã optin mua xe trung_quốc , khoản xe hàn",0
tân_đồng_phục kiểu hình 2 miễn đi !,0
"thể vay ngân_hàng góp mua xe luôn . dòng xe cỏ , đi chuẩn xe cũ thực đáng.còn i10 ạ , dòng 2015 đổ về .",0
"mẹc đi vuốt râu thật , hôi pen luôn .",1
"dân miền nam quen phương_ngữ nam kị huý thời nguyễn thành thói_quen miền nam : ví_dụ : hà_tông_quyền miền nam gọi hà_tôn_quyền , lê_thánh_tông_miền nam gọi lê_thánh_tôn . chữ "" tông "" nguyễn_phúc_miên_tông , tức vua thiệu_trị ( cháu nội nguyễn_ánh ) , "" tông "" đọc "" tôn "" vui vẻ ...",0
"trời_ơi ! đọc căm_phẫn trào mắt , thể ác_đức vậy ! ! ! thương vô_cùng , nỗi đau thể_xác tinh_thần , xót 2 bé gái cặn_bã kia xâm_hại . thua loài thú , diễn_tả ...",1
tuyệt vờichúc mừng 6,0
giá tiguan vw kìa . 500tr .,0
"ghét suốt gọi mời đi hội_thảo , mua bảo_hiểm nọ . ghét kinh_khủng khiếp ! ! !",1
"thật vui thấy bạn vẫn khỏem mạnh ! nhiều trướchị mình đã có hội bơi gần bạn , lúchị đó thựchị sự rất sợ xơi_tái mình ...",0
hoá_chất màu vẻ .,0
"tước quyền nuôi vĩnh_viễn , cấm 50 m.để khơi dậy nỗi ám_ảnh",0
2 vụ dừng đền đỏ tông vũng_tàu ! xe tông sống đằng toàn xe công xe ben thắng mạng được !,0
ta nguy đánh tài_sản văn_hoá trăm_năm ! xây bảo_tồn giá_trị trăm khó .,0
hoàn_toàn lỗi công_ty tài phân_biệt hồ_sơ vay vốn kia giả .,0
nhan_sắc đời ( ảnh cuối ) bình quá . tóc khô xấu . hy_vọng hoàn_thiện thân .,1
"kiến hợp_lý hợp tình , nay , chủ_đề covid 19chúc cuba vững phát_triển",0
"sách lớp 1 dạy trẻ siêu_nhân , bé lớp 6 chương_trình dạy chẳng lớp 3,4 hồi xưa . tội bé học kiểu cải bây",1
"i10 đi máu ạ , gọn đi nội_thành đi công_tác đầm chắc , suýt_soát đầu phân khúc i10 10",0
cầu_mong giới bình_an !,0
2 khoẻ nhớn nhé .,0
""" em mắc bệnh tim nặng "" > > > thể thuốc / thuốc . thuốc bệnh đỡ thuốc tiền chữa bệnh tim . hoàn_cảnh thương ghê : ) )",0
"mua xe niềm hào dân_tộc ra , sản_phẩm hàn đáp_ứng tất nhu_cầu hàng mẫu_mã , an_toàn , tiện_nghi . hiện việt_nam , sản_phẩm xe_hàng hyundai mặt toyota doanh 8 đầu",0
_sỹ việt_nam tuyệt_vời,0
"cá_nhân irina_nga hơn . trước không sót 1 cập đôi đó , tiếc quá .",0
"thể được , tồn cầm_thú này .",1
chúc 2 cháu khoẻ .,0
"tâm_hồn nghệ_sĩ nhạy_cảm , mong_manh tựa dây đàn . thách_thức .",0
chương_trình phổ_thông ta 15 20 thời học ngoại_trừ môn tiến vấn_đề tất phát_triển củng công học 1 tuần học 5 học_sinh_nghiệp 12 ngoại_trừ môn tiếng học trung_bình uyên môn khoa_học .. rồi nhiên văn lịch_sử đia lý phát_triển . ta cải môn tiếng bật đại_học đủ .,0
ngòi_nổ . ngòi khủng đe_doạ tê_liệt đối_phương ! ! !,0
khả_năng chấn_thương tái_phát xuyên đá anh .,0
"bây nhập_cảnh việt nam việt hồi_hương thôi . du_lịch bao . khánh du_lịch nhiêu ly 14 đi du_lịch ngần thời_gian vòng 30 ngày . 14 "" giam "" ly mấy hứng_thú đi du_lịch vậy .",0
doanh_nghiệp nhật sản_xuất xuất_khẩu lao_động,0
"6m 2 m , nó suv to giới",0
chàng gấp đôi nàng xứng_đôi .,0
"tầm giá xe nhật tiêu_biểu là : nissan sunny , honda city , suzuki ciaz huyền_thoại vios , đi , kì bảo_dưỡng bảo_dưỡng bình_thường , giá rẻ . tuyệt_đối không congnong hàn . thân !",0
bột_than tre sợ đại_trà không than,0
"tạ ơn trời phật phù_hộ , tạ ơn_sỹ",0
"cá_nhân i10 , xe quốc_dân phù_hợp tiêu_chí viết ra . kiểu_dáng nội_thất đủ , tiện_nghi đối xe dịch_vụ gia_đình cỡ nhỏ .",0
"mỹ câu cầu_thang xoắn_ốc gỗ đinh ạ . địa : bang new_mexico_mỹ , ghé thăm thờ loretto . kết_hợp hai công_trình gỗ trung_quốc mỹ ta thể xây toà tầng gỗ đấy ạ . cầu vòm gỗ xây tầng 1 đầu_tiên toà này , cầu_thang gỗ xoắn_ốc đỡ cầu vòm gỗ 2 đóng vai_trò tầng 2 toà này . tương vô tầng cầu_thang gỗ lực phi kia_mà . ?",0
"kiện mua đĩa nhạc xóm 1 đĩa chuyền này , kia nghe .",0
ước_mơ ngắm cực_quang đời .,0
đi học học mấy hôm bệnh_viện rồi . khổ_thân mấy bé ...,0
"tot lựa khôn_khéo mo . đội_hình đẹp , toàn độ chín nghiệp , được bổ xung cầu_thủ chất_lượng . áp_lực lối đoạt danh_hiệu . thành_công mo thời . tot .",0
câu hội đòi món nợ vẻ hư câu không biết . không nợ nợ không nữa . tội : ),0
"thực 1 thất_bại bên.nhất - 0đ không bao bc bánthứ 2 - m10 chả coi_trọng bc nữa , lắm không đượcthứ 3 - clb bắt_buộc lỗ tiền_lương hđ m10 ( bao thành_tích không tương_xứng với tiền_lương = > hy_vọng kéo 1 thay_đổi cục_diện . ) thứ 4 - viễn_cảnh 0đ m10 quyết đi = > bc chả gì . mùa xem , vội tưởng_bở .",0
pháp_luật trừng_trị vô_đạo,1
"gì , thước_đo 1 cạnh hình_vuông xong !",0
"đau_lòng , mong bình_an sống bà ! !",0
nữa . 28 không hành à,0
đẹp quá .,0
"toán giả_thuyết giải giả_thuyết ! - xét phạm_vi trái_đất , thể tam_giác đáp_ứng yêu_cầu đề_bài . - xét hình_vẽ đề thể tam_giác đáp_ứng kiện đề ( tổng 3 đường < 1 mm diện_tích diện_tích trái_đất ) , gian vô_tận vẽ tam_giác vẽ đường nằm tam_giác đáp_ứng yêu_cầu đề ( nhỏ 1 mm ) , 2 đường ảo ( ngoài tam_giác ) . kết_luận : đề trên , thể tam_giác tổng 3 đường 1 mm , diện_tích tam_giác diện_tích trái_đất ( 510.100.000 km2 ) !",0
"sốt ? thực_thể chừng_mực , thuốc_bổ , không thể uống hoài , tình_hình thực an_toàn thực_phẩm ta lộn_xộn , vụ ngộ_độc vụ ngộ_độc kia , tiền , lãi , ảnh_hưởng sức tiêu , 1 không tinh than tre than kịp thị_trường , ví dụ hiện : ta phở , tương đen tương đỏ chấm , thử kiểm_tra mấy thương_hiệu uy_tín ? thùng nhựa 5 lít , quán mua không rổ gốc xuất_xứ .",0
cảm_giác bơi 1 cá_mập cool lắm .,0
già gương trẻ !,0
cules mùa si đi sân ghi_bàn,0
"ấn_độ nổi_tiếng đất pháp_luật sức nghiêm_khắc thừa_hành liêm_chính , nhiên dân đông lực hành_pháp ỏi xảy hành_vi vi_phạm pháp_luật kinh_khủng .",0
trailer cảnh đầu ^ _ ^,0
tiếc buồn . các thầy lặn_lội vận_động . các cháu ham học . cần trách_nhiệm liên_quan .,1
"dân hàn ghê thật , y_hệt điện_thoại sam sung vậy .",0
"xe cam lùi , cam tiến đỗ xe tốt , dán kính , bọc sàn , cam hành_trình v ok @ @ . màn_hình xe nhạc cam đủ , không video tập_trung",0
tội_nghiệp quá .,0
"thời nhớ , bao kỷ_niệm gắn liền ca_khúc anh .",0
chó nghiệp_vụ thông_minh tinh_ranh cảnh_sát huấn_luyện tốt . huấn_luyện đừng mua le khổ xung_quanh,0
gọi tai_nạn ! ?,0
"đan_trường hồi hát làn_sóng xanh rât cảm_xúc , mv đẹpchúc mừng thành_công anh !",0
"ảnh trông bé quá , m tưởng 5 . .",0
việt_nam ! phạt thu phương_tiện thành độ pô . chịu !,0
"vỏ mỳ tôm lấy , gửi như thế nào",0
hải_cẩu biển 60-80 kg hất phát bay 15m . thảo mấy mập ngửi mùi kính km sới mấy luôn . trùm,0
"đề_nghị truy_cứu trách_nhiệm phòng_khám tiến_hành nạo_thai tuần tuổi , bất_nhân .",1
vô_tiền_khoáng_hậu,0
